"","21_1","21_2","21_3","22_1","22_2","22_3","23_1","23_2","23_3","24_1","24_2","24_3","25_1","25_2","25_3","26_1","26_2","26_3","27_1","27_2","27_3","28_1","28_2","28_3","29_1","29_2","29_3","30_1","30_2","30_3","31_1","31_2","31_3","32_1","32_2","32_3","33_1","33_2","33_3","34_1","34_2","34_3","35_1","35_2","35_3","36_1","36_2","36_3"
"A0A8I5KQE6",1.55156210991599,1.33962484628517,1.21468645944503,1.29015707199219,1.22348079034651,1.36028551813704,1.6966977235919,1.51211034496485,1.61155114413735,1.83148268877888,1.59716812062779,1.59370684011594,1.63309881948468,1.6244517654204,1.64225445278477,1.45897175487893,1.44986134897878,1.4542707382763,1.50561752972,1.20163494081799,1.42027625310625,1.5856222187169,1.54280528046718,1.34865144703105,1.53556251031675,1.58863626531017,1.3989929545632,1.47012256958606,1.50126155097256,1.35279757719588,1.77596400407937,1.37028197360412,1.44811878633274,1.76018582048873,1.56106009624878,1.53945354753734,1.13262704943051,0.965191827790714,1.02993555176599,1.83079999781573,1.56992444139802,1.53760872342768,1.01699949571057,1.04340868192823,0.925926327640144,1.37150563938505,1.13754543366188,1.26686475579813
"A0AV96",-1.28877565513034,-1.43069283023181,-1.49326309040868,-1.50913317772295,-1.32408647332114,-1.25974309987778,-1.2565460195574,-1.48389849094466,-1.38015543540003,-1.48658883780162,-1.46892962585693,-1.43535986179,-1.53899631911813,-1.58585277333626,-1.57374145838862,-1.61022223788597,-1.54545544245844,-1.63869358003306,-1.45686420792191,-1.43283675512597,-1.24590073513941,-1.53899480131203,-1.52112883370286,-1.79126122360696,-1.31086693215579,-1.21438860024836,-1.25996297750166,-1.56092346918467,-1.60203648465546,-1.41985407045726,-1.4797143920563,-1.61196466203754,-1.50842657334638,-1.38339566243475,-1.64889380962692,-1.63204632326287,-1.50120327137983,-1.46736634619676,-1.68705128140351,-1.34911006565219,-1.5074239946252,-1.64696472196121,-1.54765762964158,-2.07576447153926,-1.82449373425922,-1.39046640198711,-1.34662926176301,-1.51740404522983
"A0AVT1",0.304433154580585,0.333989934772299,0.309718276494588,0.334582141079961,0.311463364664524,0.313979312821027,0.298830130022161,0.281203851725553,0.396714739752905,0.333130287194827,0.37429359556089,0.462674293690074,0.298580867212682,0.276251496268605,0.250531263092749,0.150895889881518,0.019080130305461,0.102054153626637,0.381143783156749,0.356110473092562,0.271872716304082,0.185412140581234,0.186142816494983,0.129354632802099,0.352123507546796,0.436533616019415,0.399907136065257,0.40961278297877,0.474433157376971,0.45365409407369,0.559875561413285,0.482206375030056,0.479108459229065,0.372924393816186,0.336634386228895,0.332858326133308,0.37264089462715,0.419447105936494,0.514935092846329,0.355414127256987,0.371429596556595,0.41464111063907,0.240243526597389,-0.0653487875407313,0.176033747163541,0.00605506883502098,-0.0557905621582283,-0.0612040331952554
"A0FGR8",0.332674579509635,0.399500543528241,0.393912455536534,0.0404612842987963,0.0260084949813711,0.0314912432530934,-0.00174740936336322,0.0666415719648383,-0.112940011016338,0.0829306199388752,-0.0461132153334295,-0.00789757964333276,-0.160747059551111,-0.0793827672464706,-0.0398777543814482,-0.370028835566377,-0.426011495365264,-0.371787374035079,-0.0585422514111023,-0.2193376154987,-0.35975657751432,-0.25209896751377,-0.146521113867505,-0.363789145441475,0.017167442941364,0.411168705764773,0.359669953722502,0.190051032884049,0.179026591111412,0.173364769272745,0.210588446952159,0.21740845658852,0.128281652960715,0.290733871738441,0.269509224588963,0.299617469763958,0.411815231635242,0.406875498295012,0.510040073419246,0.289750015953476,0.138981920651164,0.204068535430369,-0.1351968380918,0.125854093967001,0.176274199049107,0.123806207524157,0.162116786920816,0.211257671780951
"A0MZ66",-1.76279940432865,-1.59673493807898,-1.40272176698256,-1.67560776140838,-1.52303997937116,-1.46896066000638,-1.7066433521713,-1.67914471476927,-1.77115928240652,-1.79894827282555,-1.71431663257321,-1.70114362618133,-1.61787626667969,-1.6529274730385,-1.85388660442472,-1.56083898470311,-1.47704020679463,-1.51061767691422,-1.55688415478008,-1.50257907203014,-1.53673048517172,-1.52063398688958,-1.34431024315555,-1.46846464167832,-1.75109652683198,-1.51144198880688,-1.79530789366923,-1.91396036331628,-1.82920455074081,-1.87316405047912,-1.77097534041047,-1.70256050959631,-1.89575731788343,-1.79077691825328,-1.51730502465722,-1.64003713770984,-1.52231286415686,-1.33957079541385,-1.30087661453695,-1.47261901910806,-1.52472406820121,-1.63924526289902,-1.57217405524242,-1.52995510715766,-1.58647487561091,-1.3875499227515,-1.2695588934208,-1.4692143948227
"A1L0T0",0.0393110450671427,0.0302672816953576,-0.0503754967552516,-0.397367895750188,-0.596138857401387,-0.620125150353484,-0.884255461677325,-0.648809866702122,-0.279729857816358,-0.465769045492425,-0.186815080128471,-0.0616397247507162,-0.327615390672426,-0.381649551350506,-0.355402959340722,-0.661977113179479,-0.71468090276696,-0.673204816220271,-0.350215217706371,-0.450265067963129,-0.332527726016857,-0.499061994323026,-0.847330939616979,-0.6786942124398,-0.177578351723469,-0.0401839851771857,-0.0388703474475297,-0.206452848523934,-0.0039166180470251,0.00338022182144011,-0.130150140306103,-0.369896177129294,-0.216434716025903,-0.192024402707204,-0.250639167519163,0.0216663290791696,-0.255320248158385,-0.418131119996278,-0.447504309838495,-0.458302034929328,-0.389967954296538,-0.333085811730941,-1.30861057841778,-1.05051952584089,-1.27241763541383,-0.411141056990948,-0.552782401467251,-0.983245695334436
"A1X283",-1.49759763144487,-1.56415486193616,-1.41501100795835,-1.28754895727568,-1.47176275088073,-1.25489603040726,-1.57706347560597,-1.58902172194548,-1.84584248697605,-1.81632876993181,-1.60484541204884,-1.64620136711916,-1.49159754755276,-1.5014381786166,NA,-1.61541706289619,-1.91378287133829,-1.76504348509737,-1.14863634837185,-1.0944793708809,-1.22975276098696,-1.78652352009183,-2.00882629484676,-1.937555481785,-1.62028058526725,-1.59559508190611,-1.40568972613623,-1.13685930018426,-1.01540775169351,-1.29263596562842,-1.50731622377702,-1.33923975664256,-1.37556153615505,-1.6030118835016,-1.56819341068396,-1.47455842703936,-0.935827204288934,-0.797904071020422,-0.850137768588091,-1.58894548217672,-1.58315412385872,-1.39805150563998,-1.21081678017826,-1.85105616475362,-1.44378621599693,-1.5387857851608,-1.58317953953648,-1.56698976590962
"A2RRD8",-2.4107640451291,-2.35951522371548,-2.39850073397322,-3.0689951160863,-2.9775109256924,NA,-2.42217609040224,-2.13646316051858,-2.36217455249556,-2.61371362096768,-2.57585758506614,-2.32914859461194,-2.44468851378231,-2.5444141475535,-2.50643872960917,-2.56653614176886,-2.79557980869117,-2.61475371337563,-2.43215789309068,-2.55140323966503,-2.78518345496526,-2.3802931968277,-2.17657388171195,-2.55770150261227,-2.63032470369693,-2.55052407838388,-2.19126422609451,NA,-2.73678368914067,-2.56534481531155,-2.54513301880348,-2.20066771029412,-2.10818867210421,-2.39371201335678,-2.26915481639386,-2.34123212313163,-2.45656555497526,-2.23528596590262,-2.11633318833392,-2.47559439525865,-2.05476092184997,-1.90234043835723,-1.6754643934029,-2.04784618110938,-1.65758259663053,-2.26095427419741,-2.12789788800706,-1.96416393080357
"A2RRP1",-2.71751810645573,-2.2625341147684,-2.43015823042567,-2.65750404664023,-2.35393566793386,-2.49077393882308,-2.35846627195294,-2.22899936640671,-2.31870282156392,-2.5552777198176,-2.23861351388183,-1.99954121609038,-2.40033554263798,-2.10180286052772,-2.22424044949877,-2.3246469308997,-2.44485675798536,-2.32763654850471,-1.80536480619489,-1.99600205801815,-2.17412045516684,-2.22206721122302,-2.4037024197007,-2.39883878606782,-1.93411216937939,-2.25639340755813,-2.19341274357666,-2.44232872022978,-1.69878862868122,-1.89776137160927,-2.25643265395404,-2.09540794709194,-2.09618345824801,-2.44385342942059,-2.37877897521333,-2.21142769817858,-2.30413187263516,-2.19181001290772,-2.04261627414025,-2.4801068456697,-2.4077052721529,-2.26414406338973,-2.81315325065183,-2.58010752392997,-3.28340852434799,-2.44375757498349,-2.57319175770445,-3.34301036223783
"A2RTX5",0.608080368720336,0.369892495159691,0.223617319060919,0.606175817246727,0.649291086256521,0.458904932379912,0.95479118160998,1.01795130647993,0.867369537240845,1.20361407083474,0.906927091674535,0.967548191820344,0.653114453838785,0.678329847173174,0.718948329291918,0.575701021584802,0.646090201653033,0.606206919892384,0.967314594519239,0.734281445511118,0.604095666595697,0.880268285608337,0.814510146766067,0.783870774321822,0.761216629948039,0.746866215543594,0.75173354733938,0.650473768336378,0.875858584447189,0.921458204787765,0.951078135064285,0.919429043874964,0.931756536328262,1.01009006665165,0.765601774388187,0.95463114225735,0.900369050250008,0.898547737922421,0.563464177559492,1.25966407753066,0.903900099258235,0.725909849655533,-0.0734951220835103,0.0121475807395253,-1.97377286718922,-0.15515495235902,-0.747680405389516,-1.08663433892893
